G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
196.0,460.0,409.0,127.0,67.0,76.0,26.0,0.0,25.0,228.0,70.0,43.0,4.0,97.0,5.0,5.0,6.0,1.0,7.0,23.0,38.0,28.0,79.0,17.0,0.0,-1.841337067496616,-0.9911000000000005,1.3944201933379807,89.0,103.0,0.3105134474327628,0.37037037037037035,0.5574572127139364,0.9278275830843068,0.24694376528117362,0.3469387755102041,0.45454545454545453,0.05434782608695652,0.2108695652173913,0.09347826086956522,0.4635416666666667,0.5364583333333334,0.8640776699029126,111.0,246.38958244869073,0.37037037037037035,0.5574572127139364,S2,ARI
164.0,445.0,394.0,104.0,46.0,62.0,24.0,4.0,14.0,178.0,47.0,49.0,0.0,90.0,16.0,1.0,2.0,0.0,2.0,27.0,42.0,40.0,79.0,12.0,0.0,-26.438213873581397,-4.3535,-1.1167420709690077,109.0,93.0,0.2639593908629442,0.3438202247191011,0.4517766497461929,0.795596874465294,0.18781725888324874,0.3082191780821918,0.3333333333333333,0.03146067415730337,0.20224719101123595,0.1101123595505618,0.5396039603960396,0.4603960396039604,1.1720430107526882,83.0,248.6413406358935,0.3438202247191011,0.4517766497461929,S2,BAL
172.0,445.0,407.0,132.0,72.0,81.0,21.0,4.0,26.0,239.0,72.0,34.0,2.0,117.0,16.0,1.0,0.0,1.0,3.0,20.0,34.0,28.0,68.0,8.0,0.0,7.596697231782337,0.6290999999999997,2.286749039567366,82.0,79.0,0.32432432432432434,0.3738738738738739,0.5872235872235873,0.9610974610974612,0.2628992628992629,0.3970037453183521,1.0,0.058426966292134834,0.26292134831460673,0.07640449438202247,0.5093167701863354,0.4906832298136646,1.0379746835443038,117.0,236.66663430152371,0.3738738738738739,0.5872235872235873,S2,BOS
175.0,439.0,386.0,106.0,72.0,56.0,19.0,1.0,30.0,217.0,70.0,50.0,2.0,98.0,7.0,0.0,1.0,0.0,3.0,20.0,44.0,33.0,69.0,16.0,0.0,7.238665759127244,0.32909999999999995,2.2303560588224527,97.0,88.0,0.27461139896373055,0.3553530751708428,0.5621761658031088,0.9175292409739516,0.28756476683937826,0.29118773946360155,0.0,0.0683371298405467,0.22323462414578588,0.11389521640091116,0.5243243243243243,0.4756756756756757,1.1022727272727273,107.0,254.022128896554,0.3553530751708428,0.5621761658031088,S2,CLE
166.0,474.0,436.0,138.0,66.0,87.0,22.0,6.0,23.0,241.0,68.0,34.0,1.0,100.0,3.0,5.0,5.0,0.0,4.0,16.0,26.0,49.0,93.0,14.0,0.0,-5.531636103354716,-2.04,1.0734332345374469,91.0,111.0,0.3165137614678899,0.3628691983122363,0.5527522935779816,0.9156214918902179,0.23623853211009171,0.3627760252365931,0.5,0.04852320675105485,0.2109704641350211,0.07172995780590717,0.4504950495049505,0.5495049504950495,0.8198198198198198,108.0,245.5180351434586,0.3628691983122363,0.5527522935779816,S2,COL
192.0,434.0,394.0,112.0,53.0,65.0,30.0,4.0,13.0,189.0,55.0,35.0,3.0,99.0,8.0,1.0,2.0,1.0,4.0,20.0,40.0,31.0,81.0,11.0,0.0,-14.52051983916686,-1.9175,0.03727930442687212,91.0,96.0,0.28426395939086296,0.3394919168591224,0.4796954314720812,0.8191873483312035,0.19543147208121825,0.34615384615384615,0.3333333333333333,0.029953917050691243,0.22811059907834103,0.08064516129032258,0.48663101604278075,0.5133689839572193,0.9479166666666666,87.0,249.52717523390493,0.3394919168591224,0.4796954314720812,S2,DET
178.0,434.0,392.0,116.0,65.0,74.0,22.0,7.0,13.0,191.0,67.0,37.0,3.0,65.0,3.0,8.0,2.0,0.0,5.0,23.0,47.0,48.0,79.0,14.0,0.0,-3.4841154969848556,-0.6783000000000001,1.1409197386450725,118.0,98.0,0.29591836734693877,0.35253456221198154,0.4872448979591837,0.8397794601711652,0.19132653061224492,0.322884012539185,0.8,0.029953917050691243,0.1497695852534562,0.08525345622119816,0.5462962962962963,0.4537037037037037,1.2040816326530612,92.0,249.43514823464673,0.35253456221198154,0.4872448979591837,S2,HOU
179.0,456.0,411.0,124.0,82.0,73.0,24.0,4.0,23.0,225.0,82.0,42.0,0.0,81.0,10.0,3.0,3.0,0.0,3.0,19.0,52.0,41.0,80.0,14.0,0.0,14.426142405758418,-0.9552999999999998,3.0074415850105485,112.0,97.0,0.30170316301703165,0.36403508771929827,0.5474452554744526,0.9114803431937508,0.2457420924574209,0.3258064516129032,0.5,0.05043859649122807,0.17763157894736842,0.09210526315789473,0.5358851674641149,0.46411483253588515,1.1546391752577319,107.0,246.74560527369078,0.36403508771929827,0.5474452554744526,S2,LAD
170.0,443.0,402.0,106.0,60.0,69.0,18.0,1.0,18.0,180.0,60.0,38.0,0.0,111.0,22.0,2.0,1.0,0.0,3.0,21.0,37.0,36.0,78.0,13.0,0.0,-10.825981262063703,-2.2055,0.4376179123562942,94.0,94.0,0.263681592039801,0.32505643340857787,0.44776119402985076,0.7728176274384286,0.18407960199004975,0.3188405797101449,0.6666666666666666,0.040632054176072234,0.2505643340857788,0.08577878103837472,0.5,0.5,1.0,77.0,250.8366532240533,0.32505643340857787,0.44776119402985076,S2,MIL
113.0,266.0,242.0,68.0,36.0,40.0,15.0,1.0,12.0,121.0,37.0,18.0,1.0,54.0,0.0,6.0,3.0,1.0,5.0,8.0,21.0,26.0,53.0,12.0,0.0,-6.052372435028563,-0.4386,0.3075787074173889,55.0,70.0,0.2809917355371901,0.32452830188679244,0.5,0.8245283018867924,0.2190082644628099,0.30939226519337015,0.6666666666666666,0.045112781954887216,0.20300751879699247,0.06766917293233082,0.44,0.56,0.7857142857142857,87.0,252.16113636363636,0.32452830188679244,0.5,S2,MIN
