G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
13,31,28,3,3,1,0,0,2,9,3,3,1,4,0,0,0,0,0,1,4,6,9,2,0,0.10714285714285714,0.1935483870967742,0.32142857142857145,0.5149769585253456,0.2142857142857143,0.045454545454545456,,0.06451612903225806,0.12903225806451613,0.0967741935483871,0.5,0.5,1.0,301.96666666666664,0.1935483870967742,0.32142857142857145,-3.6234637676454806,-0.29650000000000004,11,11,BP,31.0,28.0,3.0,9,3.0,0.0,0.0,S6,2.0,False,COL,COL,16,-0.23962349295379815
1,1,1,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,1.0,1.0,,0.0,0.0,0.0,,,,29.0,1.0,2.0,2.0015510547172077,0.3834,0,0,P,1.0,1.0,1.0,2,0.0,0.0,0.0,S6,3.0,False,KCR,KCR,11,0.20411390817529335
13,36,31,9,6,2,4,1,2,21,5,5,0,12,0,0,0,0,0,1,2,2,3,3,0,0.2903225806451613,0.3888888888888889,0.6774193548387096,1.0663082437275986,0.3870967741935483,0.4117647058823529,,0.05555555555555555,0.3333333333333333,0.1388888888888889,0.45454545454545453,0.5454545454545454,0.8333333333333334,221.77777777777777,0.3888888888888889,0.7096774193548387,0.7650138656743362,-0.04919999999999998,5,6,TT,36.0,31.0,9.0,22,5.0,0.0,0.0,S6,4.0,False,TBR,TBR,16,0.21901828389604638
9,21,18,4,4,0,4,0,0,8,0,3,0,4,1,0,0,0,0,0,0,2,7,1,0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7777777777777777,0.2222222222222222,0.2857142857142857,,0.0,0.19047619047619047,0.14285714285714285,0.2,0.8,0.25,214.2,0.3333333333333333,0.4444444444444444,-1.002169335434099,-0.1754,2,8,BP,21.0,18.0,4.0,8,3.0,0.0,0.0,S6,6.0,False,TEX,TEX,16,-0.01708207676838578
13,35,27,7,8,4,1,0,2,14,4,8,0,10,0,1,0,0,0,1,2,4,3,1,0,0.25925925925925924,0.42857142857142855,0.5185185185185185,0.947089947089947,0.25925925925925924,0.3333333333333333,1.0,0.05714285714285714,0.2857142857142857,0.22857142857142856,0.6363636363636364,0.36363636363636365,1.75,241.69444444444446,0.4,0.5,-0.07328391335459628,0.0463999999999999,7,4,TT,35.0,28.0,7.0,14,7.0,0.0,0.0,S6,14.0,False,OAK,OAK,16,0.13122970328958056
9,18,16,5,3,1,2,1,1,12,3,2,0,2,0,0,0,0,0,1,2,5,2,0,0,0.3125,0.3888888888888889,0.75,1.1388888888888888,0.4375,0.3076923076923077,,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.8,0.2,4.0,265.94444444444446,0.3888888888888889,0.6875,0.5468307424060227,0.1499,8,2,BP,18.0,16.0,5.0,11,2.0,0.0,0.0,S6,16.0,False,MIN,MIN,16,0.12594152290490865
4,10,9,1,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,2,1,0,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.16666666666666666,,0.0,0.3,0.1,0.4,0.6,0.6666666666666666,286.4,0.2,0.1111111111111111,-1.3985008021329468,-0.20239999999999997,2,3,BP,10.0,9.0,1.0,1,1.0,0.0,0.0,S6,17.0,False,CIN,CIN,11,-0.10026205317756891
12,29,25,5,3,2,0,0,3,14,5,4,0,2,0,1,0,0,0,0,4,5,1,8,0,0.2,0.3103448275862069,0.56,0.8703448275862069,0.36000000000000004,0.1,1.0,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.5,0.5,1.0,284.03333333333336,0.27586206896551724,0.5384615384615384,-0.27272634499889975,-0.11490000000000003,9,9,1B,29.0,26.0,5.0,14,3.0,0.0,0.0,S6,18.0,False,BOS,BOS,15,0.08753264390371478
10,27,25,5,1,2,1,1,1,11,2,2,0,10,0,0,0,0,0,0,2,5,2,1,0,0.2,0.25925925925925924,0.44,0.6992592592592592,0.24,0.2857142857142857,,0.037037037037037035,0.37037037037037035,0.07407407407407407,0.7,0.3,2.3333333333333335,283.4074074074074,0.2222222222222222,0.4230769230769231,-1.863919289244417,-0.198,7,3,TT,27.0,26.0,5.0,11,1.0,0.0,0.0,S6,20.0,False,SDP,SDP,15,-0.07950425592798212
9,26,24,8,6,1,3,1,3,22,9,2,0,4,0,0,1,0,0,1,2,1,4,5,0,0.3333333333333333,0.38461538461538464,0.9166666666666666,1.3012820512820513,0.5833333333333333,0.29411764705882354,0.0,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.6923076923076923,0.4444444444444444,223.92592592592592,0.38461538461538464,0.9166666666666666,4.87324076092794,-0.020200000000000065,4,9,XB,26.0,24.0,8.0,22,2.0,0.0,0.0,S6,22.0,False,SFG,SFG,16,0.590252946385681
